statefip,state,ratingarea,zip3
2,Alaska,1,995
2,Alaska,2,996
2,Alaska,2,997
2,Alaska,3,998
2,Alaska,3,999
6,California,15,906
6,California,15,907
6,California,15,908
6,California,15,910
6,California,15,911
6,California,15,912
6,California,15,915
6,California,15,917
6,California,15,918
6,California,15,935
6,California,16,900
6,California,16,902
6,California,16,903
6,California,16,904
6,California,16,905
6,California,16,913
6,California,16,914
6,California,16,916
6,California,16,923
6,California,16,928
6,California,16,932
16,Idaho,1,832
16,Idaho,2,833
16,Idaho,3,834
16,Idaho,4,835
16,Idaho,5,836
16,Idaho,6,837
16,Idaho,7,838
25,Massachusetts,1,10
25,Massachusetts,1,11
25,Massachusetts,1,12
25,Massachusetts,1,13
25,Massachusetts,2,14
25,Massachusetts,2,15
25,Massachusetts,2,16
25,Massachusetts,3,17
25,Massachusetts,3,20
25,Massachusetts,4,18
25,Massachusetts,4,19
25,Massachusetts,5,21
25,Massachusetts,5,22
25,Massachusetts,5,24
25,Massachusetts,6,23
25,Massachusetts,6,27
25,Massachusetts,7,25
25,Massachusetts,7,26
31,Nebraska,1,680
31,Nebraska,1,681
31,Nebraska,2,683
31,Nebraska,2,684
31,Nebraska,2,685
31,Nebraska,3,686
31,Nebraska,3,687
31,Nebraska,3,688
31,Nebraska,3,689
31,Nebraska,4,690
31,Nebraska,4,691
31,Nebraska,4,692
31,Nebraska,4,693
