statefip,StateName,StateAbbrev,MktplceType,PlanSel_Total_NUM,PlanSel_TotKnownGend_NUM,PlanSel_Fem_NUM,PlanSel_Male_NUM,PlanSel_UnknGend_NUM,PlanSel_Total_NUM,PlanSel_TotKnownAge_NUM,PlanSel_LT18_NUM,PlanSel_18-25_NUM,PlanSel_26-34_NUM,PlanSel_35-44_NUM,PlanSel_45-54_NUM,PlanSel_55-64_NUM,PlanSel_GE65_NUM,PlanSel_18-34_NUM,PlanSel_UnknAge_NUM,PlanSel_Total_NUM,PlanSel_MetalKnown_NUM,PlanSel_Bronze_NUM,PlanSel_Silver_NUM,PlanSel_Gold_NUM,PlanSel_PlatiNUM_NUM,PlanSel_Catastr_NUM,PlanSel_StDent_NUM,PlanSel_UnknMetal_NUM,PlanSel_Total_NUM,PlanSel_FinAsstKnown_NUM,PlanSel_WithFinAsst_NUM,PlanSel_WOFinAsst_NUM,PlanSel_UnknFinAsst_NUM,PlanSel_Fem_NUM,PlanSel_FemKnownAge_NUM,PlanSel_FemLT18_NUM,PlanSel_Fem18-25_NUM,PlanSel_Fem26-34_NUM,PlanSel_Fem35-44_NUM,PlanSel_Fem45-54_NUM,PlanSel_Fem55-64_NUM,PlanSel_FemGE65_NUM,PlanSel_0-20_NUM,PlanSel_18-34_NUM,PlanSel_FemUnknAge_NUM,PlanSel_Male_NUM,PlanSel_MaleKnownAge_NUM,PlanSel_MaleLT18_NUM,PlanSel_Male18-25_NUM,PlanSel_Male26-34_NUM,PlanSel_Male35-44_NUM,PlanSel_Male45-54_NUM,PlanSel_Male55-64_NUM,PlanSel_MaleGE65_NUM,PlanSel_0-20_NUM,PlanSel_18-34_NUM,PlanSel_MaleUnknAge_NUM,PlanSel_Fem_NUM,PlanSel_FemMetalKnown_NUM,PlanSel_FemBronze_NUM,PlanSel_FemSilver_NUM,PlanSel_FemGold_NUM,PlanSel_FemPlatinum_NUM,PlanSel_FemCatastr_NUM,PlanSel_FemStDent_NUM,FemPlanSel_UnknMetal_NUM,PlanSel_Male_NUM,PlanSel_MaleMetalKnown_NUM,PlanSel_MaleBronze_NUM,PlanSel_MaleSilver_NUM,PlanSel_MaleGold_NUM,PlanSel_MalePlatinum_NUM,PlanSel_MaleCatastr_NUM,PlanSel_MaleStDent_NUM,MalePlanSel_UnknMetal_NUM, ,PlanSel_WithFinAsstMetalKnown_NUM,PlanSel_WithFinAsstBronze_NUM,PlanSel_WithFinAsstSilver_NUM,PlanSel_WithFinAsstGold_NUM,PlanSel_WithFinAsstPlatinum_NUM,PlanSel_WithFinAsstCatastr_NUM,PlanSel_WithFinAsstStDent_NUM,WithFinAsstPlanSel_UnknMetal_NUM,PlanSel_WOFinAsst_NUM,PlanSel_WOFinAsstMetalKnown_NUM,PlanSel_WOFinAsstBronze_NUM,PlanSel_WOFinAsstSilver_NUM,PlanSel_WOFinAsstGold_NUM,PlanSel_WOFinAsstPlatinum_NUM,PlanSel_WOFinAsstCatastr_NUM,PlanSel_WOFinAsstStDent_NUM,WOFinAsstPlanSel_UnknMetal_NUM,PlanSel_Brze_NUM,PlanSel_BrzeKnownAge_NUM,PlanSel_BrzeLT18_NUM,PlanSel_Brze18-25_NUM,PlanSel_Brze26-34_NUM,PlanSel_Brze35-44_NUM,PlanSel_Brze45-54_NUM,PlanSel_Brze55-64_NUM,PlanSel_BrzeGE65_NUM,PlanSel_Brze18-34_NUM,PlanSel_BrzeUnknAge_NUM,PlanSel_Silv_NUM,PlanSel_SilvKnownAge_NUM,PlanSel_SilvLT18_NUM,PlanSel_Silv18-25_NUM,PlanSel_Silv26-34_NUM,PlanSel_Silv35-44_NUM,PlanSel_Silv45-54_NUM,PlanSel_Silv55-64_NUM,PlanSel_SilvGE65_NUM,PlanSel_Silv18-34_NUM,PlanSel_SilvUnknAge_NUM,PlanSel_Gold_NUM,PlanSel_GoldKnownAge_NUM,PlanSel_GoldLT18_NUM,PlanSel_Gold18-25_NUM,PlanSel_Gold26-34_NUM,PlanSel_Gold35-44_NUM,PlanSel_Gold45-54_NUM,PlanSel_Gold55-64_NUM,PlanSel_GoldGE65_NUM,PlanSel_Gold18-34_NUM,PlanSel_GoldUnknAge_NUM,PlanSel_Plat_NUM,PlanSel_PlatKnownAge_NUM,PlanSel_PlatLT18_NUM,PlanSel_Plat18-25_NUM,PlanSel_Plat26-34_NUM,PlanSel_Plat35-44_NUM,PlanSel_Plat45-54_NUM,PlanSel_Plat55-64_NUM,PlanSel_PlatGE65_NUM,PlanSel_Plat18-34_NUM,PlanSel_PlatUnknAge_NUM,PlanSel_Cat_NUM,PlanSel_CatKnownAge_NUM,PlanSel_CatLT18_NUM,PlanSel_Cat18-25_NUM,PlanSel_Cat26-34_NUM,PlanSel_Cat35-44_NUM,PlanSel_Cat45-54_NUM,PlanSel_Cat55-64_NUM,PlanSel_CatGE65_NUM,PlanSel_Cat18-34_NUM,PlanSel_CatUnknAge_NUM,PlanSel_StDent_NUM,PlanSel_StDentKnownAge_NUM,PlanSel_StDentLT18_NUM,PlanSel_StDent18-25_NUM,PlanSel_StDent26-34_NUM,PlanSel_StDent35-44_NUM,PlanSel_StDent45-54_NUM,PlanSel_StDent55-64_NUM,PlanSel_StDentGE65_NUM,PlanSel_StDent18-34_NUM,PlanSel_StDentUnknAge_NUM
1,Alabama ,AL,FFM,97870,97838,56813,41025,32,97870,97870,2858,11696,19040,18298,21159,24661,158,30736,0,97870,97870,8645,75054,7171,4588,2725,31661,0,97870,97870,83348,14522,0,56813,56813,1415,6634,10886,10557,12366,14878,77,3305,17520,0,41025,41025,1441,5057,8152,7731,8788,9775,81,3099,13209,0,56813,56813,4665,44109,4022,2581,1630,18716,0,41025,41025,3978,30919,3148,2005,1094,12933,0,83348,83348,4603,70712,5257,2895,0,,0,14522,14522,4042,4342,1914,1693,2725,31661,0,8645,8645,247,971,2058,1692,1816,1840,21,3029,0,75054,75054,2048,8628,13621,14162,16794,19676,125,22249,0,7171,7171,311,631,1267,1155,1526,2271,10,1898,0,4588,4588,249,515,1021,1025,925,850,,1536,0,2725,2725,,994,1134,334,175,81,0,2128,0,31661,31661,280,3816,7395,6808,6645,6676,41,11211,0
2,Alaska ,AK,FFM,12890,12887,6680,6207,,12890,12890,1073,1100,2685,2061,2597,3341,33,3785,0,12890,12890,3428,8345,993,0,140,2266,0,12890,12890,11365,1525,0,6680,6680,519,577,1405,1051,1369,1738,21,676,1982,0,6207,6207,554,522,1280,1010,1227,1602,12,690,1802,0,6680,6680,1730,4400,494,0,67,1135,0,6207,6207,1698,3942,499,0,73,1129,0,11365,11365,2758,7970,648,0,0,,0,1525,1525,670,375,345,0,140,2266,0,3428,3428,412,243,734,587,659,789,,977,0,8345,8345,515,749,1691,1301,1728,2332,29,2440,0,993,993,144,77,181,168,205,218,0,258,0,0,0,0,0,0,0,0,0,0,0,0,140,140,,34,86,,,,0,120,0,2266,2266,93,215,561,425,468,503,,776,0
4,Arizona ,AZ,FFM,120071,120046,63670,56376,25,120071,120071,25635,9819,15940,17047,21882,29323,425,25759,0,120071,120071,14615,72084,17022,15244,1564,15586,0,120071,120071,92703,27368,0,63670,63670,12564,5197,8340,8900,11814,16609,246,14510,13537,0,56376,56376,13066,4621,7599,8146,10055,12710,179,14895,12220,0,63670,63670,7426,38774,9076,7956,697,8069,0,56376,56376,7188,33289,7944,7286,867,7516,0,92703,92703,9958,65524,9832,7691,0,,0,27368,27368,4657,6560,7190,7553,1564,15586,0,14615,14615,2356,1030,1692,1953,2844,4668,72,2722,0,72084,72084,16371,5978,8816,9922,13334,17386,277,14794,0,17022,17022,3574,1156,2315,2589,3117,4233,38,3471,0,15244,15244,3226,1130,2390,2628,2655,3176,39,3520,0,1564,1564,220,564,767,,,,0,1331,0,15586,15586,1519,1397,3241,2856,3090,3423,60,4638,0
5,Arkansas ,AR,FFM,43446,43440,23887,19553,,43446,43446,2347,3702,6971,7295,9820,13191,120,10673,0,43446,43446,8142,29133,5815,,441,8906,0,43446,43446,39054,4392,0,23887,23887,1131,2017,3677,3904,5419,7670,69,1690,5694,0,19553,19553,1215,1684,3294,3391,4400,5518,51,1719,4978,0,23887,23887,4216,16363,3129,0,234,4841,0,19553,19553,3926,12765,2685,,207,4064,0,39054,39054,6668,28078,4369,0,0,,0,4392,4392,1474,1055,1446,,441,8906,0,8142,8142,542,703,1458,1350,1835,2237,17,2161,0,29133,29133,1177,2431,4568,5106,6773,8986,92,6999,0,5815,5815,607,377,765,839,1227,1989,11,1142,0,,,0,0,0,,0,0,0,0,0,441,441,28,198,191,19,,,0,389,0,8906,8906,625,843,1802,1749,1825,2039,23,2645,0
6,California ,CA,SBM,1405102,1405102,731728,673374,0,1405102,1405102,73566,160833,235729,238218,342718,345725,8313,396562,0,1405102,1405102,355553,877973,80955,71750,18871,,0,1405102,1404864,1250817,154047,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Colorado ,CO,SBM,125402,125402,65549,59853,0,125402,125402,14766,9873,23243,19718,24168,33239,395,33116,0,125402,125402,50234,58083,12284,955,3846,,0,125402,125402,74628,50774,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Connecticut ,CT,SBM,79192,79192,42029,37163,0,79192,79192,5291,7773,11463,10776,18734,24000,1155,19236,0,79192,79192,12843,50261,14334,0,1754,,0,79192,79192,61435,17757,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Delaware ,DE,FFM,14087,14083,7745,6338,,14087,14087,1538,1069,2297,2258,3103,3778,44,3366,0,14087,14087,2263,8380,2428,831,234,2896,0,14087,14087,11461,2626,0,7745,7745,771,583,1235,1203,1685,2239,29,927,1818,0,6338,6338,767,485,1062,1054,1417,1538,15,942,1547,0,7745,7745,1194,4746,1293,430,104,1627,0,6338,6338,1067,3631,1134,401,130,1269,0,11461,11461,1743,7605,1656,491,0,,0,2626,2626,520,775,772,340,234,2896,0,2263,2263,215,164,327,355,540,654,,491,0,8380,8380,788,615,1361,1379,1915,2288,34,1976,0,2428,2428,382,157,336,365,500,687,,493,0,831,831,138,61,145,164,155,167,,206,0,234,234,23,74,135,,,0,0,209,0,2896,2896,116,250,650,561,678,630,11,900,0
11,District Of Columbia ,DC,SBM,10714,10361,5344,5017,353,10714,10714,697,742,4102,2226,1574,1298,75,4844,0,10714,10714,3156,2718,2335,2089,416,,0,10714,10714,1747,8967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Florida ,FL,FFM,983775,983479,538130,445349,296,983775,983774,43226,123363,142662,179028,248623,240028,6844,266025,,983775,983775,128632,722696,54694,67212,15102,193092,0,983775,983775,893655,90120,0,538130,538129,21218,65704,76749,97124,137234,136257,3843,41357,142453,,445349,445349,21993,57623,65871,81855,111314,103695,2998,40854,123494,0,538130,538130,64719,403561,29228,35548,7645,104599,0,445349,445349,63861,318908,25450,31640,7454,88436,0,893655,893655,101091,708210,39983,47274,0,,0,90120,90120,27541,14486,14711,19938,15102,193092,0,128632,128632,7491,13354,19365,21983,31882,33833,724,32719,0,722696,722696,23812,93728,100123,135198,189218,174979,5638,193851,0,54694,54694,4950,5090,7056,8795,12871,15652,280,12146,0,67212,67211,6839,5897,10448,12569,14956,16282,220,16345,,15102,15102,283,5886,6270,1182,935,544,,12156,0,193092,193092,6842,25275,35908,38450,45730,39825,1062,61183,0
13,Georgia ,GA,FFM,316543,316471,179227,137244,72,316543,316543,14338,40198,59347,64093,71401,66015,1151,99545,0,316543,316543,33923,225147,20642,30260,7809,84624,0,316543,316543,275378,41165,0,179227,179227,7073,22346,33660,36161,40502,38872,613,13800,56006,0,137244,137244,7257,17843,25674,27920,30879,27133,538,13374,43517,0,179227,179227,17562,130460,11448,16204,4287,48326,0,137244,137244,16350,94636,9189,14042,3521,36275,0,275378,275378,23545,217398,14674,20390,,,0,41165,41165,10378,7749,5968,9870,7808,84624,0,33923,33923,1808,3748,6733,6495,7509,7494,136,10481,0,225147,225147,7600,29181,40695,46846,52880,47094,851,69876,0,20642,20642,1936,1868,3304,3933,4482,5062,57,5172,0,30260,30260,2922,2707,5328,6340,6401,6454,108,8035,0,7809,7809,109,2890,3481,716,438,173,,6371,0,84624,84624,3711,10778,19150,18783,18131,13859,212,29928,0
15,Hawaii ,HI,SBM,8592,8592,4319,4273,0,8592,8592,1108,571,1184,1265,1635,2518,311,1755,0,8592,8592,3536,2228,1262,1598,16,,,8592,8592,3286,5306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Idaho ,ID,FFM,76061,76047,40973,35074,14,76061,76061,11346,7634,13165,12446,13899,17503,68,20799,0,76061,76061,11745,54720,7251,1982,500,10706,0,76061,76061,69780,6281,0,40973,40973,5517,4121,7079,6584,7746,9896,30,6900,11200,0,35074,35074,5826,3512,6083,5860,6150,7605,38,7110,9595,0,40973,40973,6033,29865,3876,1020,255,5654,0,35074,35074,5707,24848,3372,961,245,5050,0,69780,69780,9713,53223,5667,1259,0,,0,6281,6281,2032,1497,1584,723,500,10706,0,11745,11745,2029,946,1689,1696,2214,3158,13,2635,0,54720,54720,7468,5802,9889,9394,10035,12081,51,15691,0,7251,7251,1474,554,1002,1002,1315,1901,,1556,0,1982,1982,374,170,376,343,332,386,,546,0,500,500,20,176,238,28,27,11,0,414,0,10706,10706,3058,938,1955,1727,1476,1548,,2893,0
17,Illinois ,IL,FFM,217492,217458,114329,103129,34,217492,217492,12505,20942,39249,33353,47827,62781,835,60191,0,217492,217492,62217,121467,31603,1723,1018,48489,0,217492,217492,168185,49307,0,114329,114329,6022,10639,19420,16774,25880,35134,460,9275,30059,0,103129,103129,6479,10302,19822,16572,21939,27640,375,9858,30124,0,114329,114329,30662,66166,16575,788,427,25122,0,103129,103129,31546,55285,15017,934,591,23363,0,168185,168185,41309,109538,17049,598,0,,0,49307,49307,20908,11929,14554,1125,1018,48489,0,62217,62217,3197,5667,11911,9249,13874,18043,276,17578,0,121467,121467,5949,12459,20968,18485,27199,35910,497,33427,0,31603,31603,3175,2352,5466,5302,6552,8699,57,7818,0,1723,1723,177,142,373,396,329,298,,515,0,1018,1018,39,365,600,,,,0,965,0,48489,48489,2958,4339,11029,8350,10104,11583,126,15368,0
18,Indiana ,IN,FFM,132423,132401,73699,58702,22,132423,132423,9522,12293,22084,21674,28059,38617,174,34377,0,132423,132423,36757,88352,6405,,1339,26257,0,132423,132423,117761,14662,0,73699,73699,4619,6489,11780,11764,15915,23041,91,6660,18269,0,58702,58702,4899,5801,10304,9906,12139,15570,83,6898,16105,0,73699,73699,19380,50522,3385,,671,14797,0,58702,58702,17368,37818,3017,,668,11453,0,117761,117761,30543,83592,3937,0,0,,0,14662,14662,6214,4760,2468,,1339,26257,0,36757,36757,3080,3066,5721,5755,8082,11015,38,8787,0,88352,88352,5492,8273,14815,14789,18769,26084,130,23088,0,6405,6405,914,492,949,1147,1263,1634,,1441,0,,,,,0,,0,0,0,,0,1339,1339,55,487,661,53,51,32,0,1148,0,26257,26257,1901,2742,5422,5001,5370,5790,31,8164,0
19,Iowa ,IA,FFM,29163,29159,15853,13306,,29163,29163,1252,2490,5391,4688,6353,8895,94,7881,0,29163,29163,7511,16528,3460,1139,619,5634,0,29163,29163,24485,4678,0,15853,15853,617,1322,2736,2504,3572,5059,43,973,4058,0,13306,13306,634,1168,2655,2184,2780,3834,51,964,3823,0,15853,15853,3881,9315,1851,577,277,3097,0,13306,13306,3628,7213,1607,562,342,2537,0,24485,24485,5700,15763,2401,678,0,,0,4678,4678,1811,765,1059,461,619,5634,0,7511,7511,313,533,1381,1198,1812,2245,29,1914,0,16528,16528,531,1396,2907,2787,3688,5163,56,4303,0,3460,3460,271,237,537,493,658,1255,,774,0,1139,1139,120,92,230,212,214,270,,322,0,619,619,18,239,351,,,,0,590,0,5634,5634,236,497,1398,1061,1117,1304,21,1895,0
20,Kansas ,KS,FFM,57013,57003,31575,25428,10,57013,57013,3903,6296,11579,9321,11160,14610,144,17875,0,57013,57013,10672,34173,9002,1266,2110,8769,0,57013,57013,44869,12144,0,31575,31575,1941,3459,6192,5092,6318,8499,74,2989,9651,0,25428,25428,1960,2836,5386,4227,4839,6110,70,2872,8222,0,31575,31575,5565,19566,4906,568,1098,4766,0,25428,25428,5107,14600,4096,698,1009,4002,0,44869,44869,6875,32055,5445,596,0,,0,12144,12144,3797,2118,3557,670,2110,8769,0,10672,10672,793,991,2289,1756,2108,2707,28,3280,0,34173,34173,1711,3728,6557,5806,7117,9158,96,10285,0,9002,9002,1260,725,1507,1410,1618,2466,16,2232,0,1266,1266,105,137,279,235,258,248,,416,0,2110,2110,45,741,983,163,102,76,0,1724,0,8769,8769,390,1057,2231,1641,1663,1769,18,3288,0
21,Kentucky ,KY,SBM,82747,82747,41833,40914,0,82747,82747,8317,6769,12503,13742,18253,22934,229,19272,0,82747,82747,10650,35504,14037,21439,1181,,,82747,82747,59753,22994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Louisiana ,LA,FFM,101778,101738,60254,41484,40,101778,101778,3532,11959,20398,18076,22626,24895,292,32357,0,101778,101778,18999,66456,8189,6745,1718,21247,0,101778,101778,89341,12437,0,60254,60254,1714,6991,12061,10476,13512,15314,186,3597,19052,0,41484,41484,1817,4964,8328,7590,9104,9575,106,3331,13292,0,60254,60254,10404,41141,4621,3274,1015,12584,0,41484,41484,8590,25301,3565,3452,702,8659,0,89341,89341,14647,64445,6353,4100,0,,0,12437,12437,4352,2011,1836,2645,1718,21247,0,18999,18999,826,1877,4000,3240,4297,4714,45,5877,0,66456,66456,1521,8140,12710,11938,15075,16849,223,20850,0,8189,8189,724,703,1433,1321,1742,2249,17,2136,0,6745,6745,454,618,1562,1458,1495,1150,,2180,0,1718,1718,15,665,739,172,83,44,0,1404,0,21247,21247,209,2775,5688,4372,4247,3916,40,8463,0
23,Maine ,ME,FFM,44258,44247,23819,20428,11,44258,44258,3692,3362,6424,6045,9739,14935,61,9786,0,44258,44258,8469,32074,3420,0,389,6214,0,44258,44258,39809,4449,0,23819,23819,1807,1743,3170,3126,5402,8533,38,2307,4913,0,20428,20428,1883,1619,3253,2916,4336,6398,23,2371,4872,0,23819,23819,4396,17494,1825,0,155,3278,0,20428,20428,4072,14571,1594,0,234,2935,0,39809,39809,6884,30482,2483,0,0,,0,4449,4449,1585,1592,937,0,389,6214,0,8469,8469,891,550,1256,1219,1839,2708,,1806,0,32074,32074,2276,2488,4499,4288,7157,11319,47,6987,0,3420,3420,516,209,474,538,746,929,,683,0,0,0,0,0,0,0,0,0,0,0,0,389,389,12,123,206,15,17,16,0,329,0,6214,6214,604,460,1075,987,1385,1697,,1535,0
