statefip,StateName,StateAbbrev,MktplceType,MktplcPlanElig_Total_NUM,PlanElig_With_FA_NUM,MktplcMcaidCHIPEligDet_Total_NUM,PlanSel_Total_NUM,PlanSel_Total_NUM,PlanSel_TotKnownGend_NUM,PlanSel_Fem_PCT,PlanSel_Male_PCT,PlanSel_Total_NUM,PlanSel_TotKnownAge_NUM,PlanSel_LT18_PCT,PlanSel_18-25_PCT,PlanSel_26-34_PCT,PlanSel_35-44_PCT,PlanSel_45-54_PCT,PlanSel_55-64_PCT,PlanSel_GE65_PCT,PlanSel_18-34_PCT,PlanSel_Total_NUM,PlanSel_MetalKnown_NUM,PlanSel_Bronze_PCT,PlanSel_Silver_PCT,PlanSel_Gold_PCT,PlanSel_PlatiPCT_PCT,PlanSel_Catastr_PCT,PlanSel_Total_NUM,PlanSel_FinAsstKnown_NUM,PlanSel_WithFinAsst_PCT,PlanSel_WOFinAsst_PCT,PlanSel_Fem_NUM,PlanSel_FemKnownAge_NUM,PlanSel_FemLT18_PCT,PlanSel_Fem18-25_PCT,PlanSel_Fem26-34_PCT,PlanSel_Fem35-44_PCT,PlanSel_Fem45-54_PCT,PlanSel_Fem55-64_PCT,PlanSel_FemGE65_PCT,PlanSel_0-20_PCT,PlanSel_18-34_PCT,PlanSel_Male_NUM,PlanSel_MaleKnownAge_NUM,PlanSel_MaleLT18_PCT,PlanSel_Male18-25_PCT,PlanSel_Male26-34_PCT,PlanSel_Male35-44_PCT,PlanSel_Male45-54_PCT,PlanSel_Male55-64_PCT,PlanSel_MaleGE65_PCT,PlanSel_0-20_PCT,PlanSel_18-34_PCT,PlanSel_Fem_NUM,PlanSel_FemMetalKnown_NUM,PlanSel_FemBronze_PCT,PlanSel_FemSilver_PCT,PlanSel_FemGold_PCT,PlanSel_FemPlatiPCT_PCT,PlanSel_FemCatastr_PCT,PlanSel_Male_NUM,PlanSel_MaleMetalKnown_NUM,PlanSel_MaleBronze_PCT,PlanSel_MaleSilver_PCT,PlanSel_MaleGold_PCT,PlanSel_MalePlatiPCT_PCT,PlanSel_MaleCatastr_PCT,PlanSel_WithFinAsst_NUM,PlanSel_WithFinAsstMetalKnown_NUM,PlanSel_WithFinAsstBronze_PCT,PlanSel_WithFinAsstSilver_PCT,PlanSel_WithFinAsstGold_PCT,PlanSel_WithFinAsstPlatiPCT_PCT,PlanSel_WithFinAsstCatastr_PCT,PlanSel_WOFinAsst_NUM,PlanSel_WOFinAsstMetalKnown_NUM,PlanSel_WOFinAsstBronze_PCT,PlanSel_WOFinAsstSilver_PCT,PlanSel_WOFinAsstGold_PCT,PlanSel_WOFinAsstPlatiPCT_PCT,PlanSel_WOFinAsstCatastr_PCT,PlanSel_Brze_NUM,PlanSel_BrzeKnownAge_NUM,PlanSel_BrzeLT18_PCT,PlanSel_Brze18-25_PCT,PlanSel_Brze26-34_PCT,PlanSel_Brze35-44_PCT,PlanSel_Brze45-54_PCT,PlanSel_Brze55-64_PCT,PlanSel_BrzeGE65_PCT,PlanSel_Brze18-34_PCT,PlanSel_Silv_NUM,PlanSel_SilvKnownAge_NUM,PlanSel_SilvLT18_PCT,PlanSel_Silv18-25_PCT,PlanSel_Silv26-34_PCT,PlanSel_Silv35-44_PCT,PlanSel_Silv45-54_PCT,PlanSel_Silv55-64_PCT,PlanSel_SilvGE65_PCT,PlanSel_Silv18-34_PCT,PlanSel_Gold_NUM,PlanSel_GoldKnownAge_NUM,PlanSel_GoldLT18_PCT,PlanSel_Gold18-25_PCT,PlanSel_Gold26-34_PCT,PlanSel_Gold35-44_PCT,PlanSel_Gold45-54_PCT,PlanSel_Gold55-64_PCT,PlanSel_GoldGE65_PCT,PlanSel_Gold18-34_PCT,PlanSel_Plat_NUM,PlanSel_PlatKnownAge_NUM,PlanSel_PlatLT18_PCT,PlanSel_Plat18-25_PCT,PlanSel_Plat26-34_PCT,PlanSel_Plat35-44_PCT,PlanSel_Plat45-54_PCT,PlanSel_Plat55-64_PCT,PlanSel_PlatGE65_PCT,PlanSel_Plat18-34_PCT,PlanSel_Cat_NUM,PlanSel_CatKnownAge_NUM,PlanSel_CatLT18_PCT,PlanSel_Cat18-25_PCT,PlanSel_Cat26-34_PCT,PlanSel_Cat35-44_PCT,PlanSel_Cat45-54_PCT,PlanSel_Cat55-64_PCT,PlanSel_CatGE65_PCT,PlanSel_Cat18-34_PCT,PlanSel_StDent_NUM,PlanSel_StDentKnownAge_NUM,PlanSel_StDentLT18_PCT,PlanSel_StDent18-25_PCT,PlanSel_StDent26-34_PCT,PlanSel_StDent35-44_PCT,PlanSel_StDent45-54_PCT,PlanSel_StDent55-64_PCT,PlanSel_StDentGE65_PCT,PlanSel_StDent18-34_PCT,PlanSel_Total_NUM,PlanSel_AIAN_NUM,PlanSel_Asian_NUM,PlanSel_NHPI_NUM,PlanSel_AfrAm_NUM,PlanSel_Latino_NUM,PlanSel_White_NUM,PlanSel_Multir_NUM,PlanSel_UnknOth_NUM,PlanSel_TotKnownRaceEth_NUM,PlanSel_AIAN_PCT,PlanSel_Asian_PCT,PlanSel_NHPI_PCT,PlanSel_AfrAm_PCT,PlanSel_Latino_PCT,PlanSel_White_PCT,PlanSel_Multir_PCT,PlanSel_Total_Prev_NUM,PlanSel_Total_NUM,PlanSel_Total_Chg_NUM,PlanSel_Total_Chg_PCT
1,Alabama ,AL,FFM,195779,105059,22564,97870,97870,97838,0.58,0.42,97870,97870,0.03,0.12,0.19,0.19,0.22,0.25,0,0.31,97870,97870,0.09,0.77,0.07,0.05,0.03,97870,97870,0.85,0.15,56813,56813,0.02,0.12,0.19,0.19,0.22,0.26,0,0.06,0.31,41025,41025,0.04,0.12,0.2,0.19,0.21,0.24,0,0.08,0.32,56813,56813,0.08,0.78,0.07,0.05,0.03,41025,41025,0.1,0.75,0.08,0.05,0.03,83348,83348,0.06,0.85,0.06,0.03,,14522,14522,0.28,0.3,0.13,0.12,0.19,8645,8645,0.03,0.11,0.24,0.2,0.21,0.21,0,0.35,75054,75054,0.03,0.11,0.18,0.19,0.22,0.26,0,0.3,7171,7171,0.04,0.09,0.18,0.16,0.21,0.32,0,0.26,4588,4588,0.05,0.11,0.22,0.22,0.2,0.19,0,0.33,2725,2725,0,0.36,0.42,0.12,0.06,0.03,,0.780917431,31661,31661,0.01,0.12,0.23,0.22,0.21,0.21,0,0.35,97870,269,4708,40,23035,1126,46927,984,20781,77089,0.003,0.061,0.001,0.299,0.015,0.609,0.013,55034,97870,42836,0.778355199
2,Alaska ,AK,FFM,21915,14898,4172,12890,12890,12887,0.52,0.48,12890,12890,0.08,0.09,0.21,0.16,0.2,0.26,0,0.29,12890,12890,0.27,0.65,0.08,0,0.01,12890,12890,0.88,0.12,6680,6680,0.08,0.09,0.21,0.16,0.2,0.26,0,0.1,0.3,6207,6207,0.09,0.08,0.21,0.16,0.2,0.26,0,0.11,0.29,6680,6680,0.26,0.66,0.07,0,0.01,6207,6207,0.27,0.64,0.08,0,0.01,11365,11365,0.24,0.7,0.06,0,,1525,1525,0.44,0.25,0.23,0,0.09,3428,3428,0.12,0.07,0.21,0.17,0.19,0.23,0,0.29,8345,8345,0.06,0.09,0.2,0.16,0.21,0.28,0,0.29,993,993,0.15,0.08,0.18,0.17,0.21,0.22,0,0.26,0,0,,,,,,,,,140,140,0.01,0.24,0.61,0.04,0.05,0.04,,0.857142857,2266,2266,0.04,0.09,0.25,0.19,0.21,0.22,0,0.34,12890,115,1011,62,272,393,8001,290,2746,10144,0.011,0.1,0.006,0.027,0.039,0.789,0.029,6666,12890,6224,0.933693369
4,Arizona ,AZ,FFM,216951,144376,101282,120071,120071,120046,0.53,0.47,120071,120071,0.21,0.08,0.13,0.14,0.18,0.24,0,0.21,120071,120071,0.12,0.6,0.14,0.13,0.01,120071,120071,0.77,0.23,63670,63670,0.2,0.08,0.13,0.14,0.19,0.26,0,0.23,0.21,56376,56376,0.23,0.08,0.13,0.14,0.18,0.23,0,0.26,0.22,63670,63670,0.12,0.61,0.14,0.12,0.01,56376,56376,0.13,0.59,0.14,0.13,0.02,92703,92703,0.11,0.71,0.11,0.08,,27368,27368,0.17,0.24,0.26,0.28,0.06,14615,14615,0.16,0.07,0.12,0.13,0.19,0.32,0,0.19,72084,72084,0.23,0.08,0.12,0.14,0.18,0.24,0,0.21,17022,17022,0.21,0.07,0.14,0.15,0.18,0.25,0,0.2,15244,15244,0.21,0.07,0.16,0.17,0.17,0.21,0,0.23,1564,1564,0.14,0.36,0.49,0,0,0,,0.851023018,15586,15586,0.1,0.09,0.21,0.18,0.2,0.22,0,0.3,120071,514,6207,135,3474,21718,55979,1820,30224,89847,0.006,0.069,0.002,0.039,0.242,0.623,0.02,57611,120071,62460,1.084167954
5,Arkansas ,AR,FFM,80709,53958,73681,43446,43446,43440,0.55,0.45,43446,43446,0.05,0.09,0.16,0.17,0.23,0.3,0,0.25,43446,43446,0.19,0.67,0.13,0,0.01,43446,43446,0.9,0.1,23887,23887,0.05,0.08,0.15,0.16,0.23,0.32,0,0.07,0.24,19553,19553,0.06,0.09,0.17,0.17,0.23,0.28,0,0.09,0.25,23887,23887,0.18,0.69,0.13,0,0.01,19553,19553,0.2,0.65,0.14,0,0.01,39054,39054,0.17,0.72,0.11,0,,4392,4392,0.34,0.24,0.33,0,0.1,8142,8142,0.07,0.09,0.18,0.17,0.23,0.27,0,0.27,29133,29133,0.04,0.08,0.16,0.18,0.23,0.31,0,0.24,5815,5815,0.1,0.06,0.13,0.14,0.21,0.34,0,0.2,,,,,,,,,,,441,441,0.06,0.45,0.43,0.04,0,0.01,,0.882086168,8906,8906,0.07,0.09,0.2,0.2,0.2,0.23,0,0.3,43446,201,1160,23,4453,1114,27618,427,8450,34996,0.006,0.033,0.001,0.127,0.032,0.789,0.012,27395,43446,16051,0.585909838
6,California ,CA,SBM,1886867,1458433,1700000,1405102,1405102,1405102,0.52,0.48,1405102,1405102,0.05,0.11,0.17,0.17,0.24,0.25,0.01,0.28,1405102,1405102,0.25,0.62,0.06,0.05,0.01,1405102,1404864,0.89,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868936,1405102,536166,0.617037388
8,Colorado ,CO,SBM,205910,88208,181983,125402,125402,125402,0.52,0.48,125402,125402,0.12,0.08,0.19,0.16,0.19,0.27,0,0.26,125402,125402,0.4,0.46,0.1,0.01,0.03,125402,125402,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83469,125402,41933,0.502378128
9,Connecticut ,CT,SBM,113390,80354,138908,79192,79192,79192,0.53,0.47,79192,79192,0.07,0.1,0.14,0.14,0.24,0.3,0.01,0.24,79192,79192,0.16,0.63,0.18,0,0.02,79192,79192,0.78,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57465,79192,21727,0.378091012
10,Delaware ,DE,FFM,24721,16170,11200,14087,14087,14083,0.55,0.45,14087,14087,0.11,0.08,0.16,0.16,0.22,0.27,0,0.24,14087,14087,0.16,0.59,0.17,0.06,0.02,14087,14087,0.81,0.19,7745,7745,0.1,0.08,0.16,0.16,0.22,0.29,0,0.12,0.23,6338,6338,0.12,0.08,0.17,0.17,0.22,0.24,0,0.15,0.24,7745,7745,0.15,0.61,0.17,0.06,0.01,6338,6338,0.17,0.57,0.18,0.06,0.02,11461,11461,0.15,0.66,0.14,0.04,,2626,2626,0.2,0.3,0.29,0.13,0.09,2263,2263,0.1,0.07,0.14,0.16,0.24,0.29,0,0.22,8380,8380,0.09,0.07,0.16,0.16,0.23,0.27,0,0.24,2428,2428,0.16,0.06,0.14,0.15,0.21,0.28,0,0.2,831,831,0.17,0.07,0.17,0.2,0.19,0.2,0,0.25,234,234,0.1,0.32,0.58,0,0,0,,0.893162393,2896,2896,0.04,0.09,0.22,0.19,0.23,0.22,0,0.31,14087,14,859,*,2204,665,6688,198,3453,10634,0.001,0.081,*,0.207,0.063,0.629,0.019,6538,14087,7549,1.154634445
11,District Of Columbia ,DC,SBM,15437,4033,19464,10714,10714,10361,0.52,0.48,10714,10714,0.07,0.07,0.38,0.21,0.15,0.12,0.01,0.45,10714,10714,0.29,0.25,0.22,0.19,0.04,10714,10714,0.16,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249,10714,4465,0.714514322
12,Florida ,FL,FFM,1603575,1114877,180479,983775,983775,983479,0.55,0.45,983775,983774,0.04,0.13,0.15,0.18,0.25,0.24,0.01,0.27,983775,983775,0.13,0.73,0.06,0.07,0.02,983775,983775,0.91,0.09,538130,538129,0.04,0.12,0.14,0.18,0.26,0.25,0.01,0.08,0.26,445349,445349,0.05,0.13,0.15,0.18,0.25,0.23,0.01,0.09,0.28,538130,538130,0.12,0.75,0.05,0.07,0.01,445349,445349,0.14,0.72,0.06,0.07,0.02,893655,893655,0.11,0.79,0.04,0.05,,90120,90120,0.31,0.16,0.16,0.22,0.17,128632,128632,0.06,0.1,0.15,0.17,0.25,0.26,0.01,0.25,722696,722696,0.03,0.13,0.14,0.19,0.26,0.24,0.01,0.27,54694,54694,0.09,0.09,0.13,0.16,0.24,0.29,0.01,0.22,67212,67211,0.1,0.09,0.16,0.19,0.22,0.24,0,0.24,15102,15102,0.02,0.39,0.42,0.08,0.06,0.04,,0.8049265,193092,193092,0.04,0.13,0.19,0.2,0.24,0.21,0.01,0.32,983775,890,34333,763,109985,106647,297353,5625,428179,555596,0.002,0.062,0.001,0.198,0.192,0.535,0.01,442087,983775,541688,1.225297283
